Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Taylor, Quinn; Giraud-Carrier, Christophe; Knutson, Charles D; ",Applications of data mining in software engineering,International Journal of Data Analysis Techniques and Strategies,2,3,243-257,2010,Inderscience Publishers
"Wang, Shaohua; Khomh, Foutse; Zou, Ying; ",Improving bug localization using correlations in crash reports,"Mining Software Repositories (MSR), 2013 10th IEEE Working Conference on",,,247-256,2013,IEEE
"Kagdi, Huzefa; Maletic, J; ",Software repositories: A source for traceability links,International Workshop on Traceability in Emerging Forms of Software Engineering (GCT/TEFSEâ07),,,32-39,2007,
"Hindle, Abram; Godfrey, Michael W; Holt, Richard C; ",Mining recurrent activities: Fourier analysis of change events,"Software Engineering-Companion Volume, 2009. ICSE-Companion 2009. 31st International Conference on",,,295-298,2009,IEEE
"Li, Sihan; Zhou, Hucheng; Lin, Haoxiang; Xiao, Tian; Lin, Haibo; Lin, Wei; Xie, Tao; ",A characteristic study on failures of production distributed data-parallel programs,Proceedings of the 2013 International Conference on Software Engineering,,,963-972,2013,IEEE Press
"Bettenburg, Nicolas; Hassan, Ahmed E; ",Studying the impact of social interactions on software quality,Empirical Software Engineering,18,2,375-431,2013,Springer
"Shihab, Emad; ",An exploration of challenges limiting pragmatic software defect prediction,,,,,2012,Citeseer
"Sureka, Ashish; Lal, Sangeeta; Agarwal, Lucky; ",Applying fellegi-sunter (fs) model for traceability link recovery between bug databases and version archives,2011 18th Asia-Pacific Software Engineering Conference,,,146-153,2011,IEEE
"Hata, Hideaki; Mizuno, Osamu; Kikuno, Tohru; ",Fault-prone module detection using large-scale text features based on spam filtering,Empirical Software Engineering,15,2,147-165,2010,Springer
"Asaduzzaman, Muhammad; Bullock, Michael C; Roy, Chanchal K; Schneider, Kevin A; ",Bug introducing changes: A case study with Android,Proceedings of the 9th IEEE Working Conference on Mining Software Repositories,,,116-119,2012,IEEE Press
"Athanasiou, Dimitrios; Nugroho, Ariadi; Visser, Joost; Zaidman, Andy; ",Test code quality and its relation to issue handling performance,IEEE Transactions on Software Engineering,40,11,1100-1125,2014,IEEE
"Murgia, Alessandro; Concas, Giulio; Marchesi, Michele; Tonelli, Roberto; ",A machine learning approach for text categorization of fixing-issue commits on CVS,Proceedings of the 2010 ACM-IEEE International Symposium on Empirical Software Engineering and Measurement,,,6,2010,ACM
"Athanasiou, Dimitrios; ",Constructing a test code quality model and empirically assessing its relation to issue handling performance,,,,,2011,"TU Delft, Delft University of Technology"
"Chen, Xiang; Yang, Cheng-Zen; Lu, Ting-Kun; Jaygarl, Hojun; ",Implicit social network model for predicting and tracking the location of faults,2008 32nd Annual IEEE International Computer Software and Applications Conference,,,136-143,2008,IEEE
"Oyetoyan, Tosin Daniel; Cruzes, Daniela S; Conradi, Reidar; ",A study of cyclic dependencies on defect profile of software components,Journal of Systems and Software,86,12,3162-3182,2013,Elsevier
"Hora, André; Anquetil, Nicolas; Ducasse, Stéphane; Valente, Marco Tulio; ",Mining system specific rules from change patterns,Working Conference on Reverse Engineering (WCRE'13),,,,2013,
"Dallmeier, Valentin; ",Mining and checking object behavior,,,,,2010,
"Fluri, Beat; Zuberbühler, Jonas; Gall, Harald C; ",Recommending method invocation context changes,Proceedings of the 2008 international workshop on Recommendation systems for software engineering,,,1-5,2008,ACM
"Thung, Ferdian; Lo, David; Jiang, Lingxiao; Rahman, Foyzur; Devanbu, Premkumar T; ",To what extent could we detect field defects? an empirical study of false negatives in static bug finding tools,Proceedings of the 27th IEEE/ACM International Conference on Automated Software Engineering,,,50-59,2012,ACM
"Fukushima, Takafumi; Kamei, Yasutaka; McIntosh, Shane; Yamashita, Kazuhiro; Ubayashi, Naoyasu; ",An empirical study of just-in-time defect prediction using cross-project models,Proceedings of the 11th Working Conference on Mining Software Repositories,,,172-181,2014,ACM
"Liang, Guangtai; Wu, Ling; Wu, Qian; Wang, Qianxiang; Xie, Tao; Mei, Hong; ",Automatic construction of an effective training set for prioritizing static analysis warnings,Proceedings of the IEEE/ACM international conference on Automated software engineering,,,93-102,2010,ACM
"Parnin, Chris; Görg, Carsten; Rugaber, Spencer; ",Enriching revision history with interactions,Proceedings of the 2006 international workshop on Mining software repositories,,,155-158,2006,ACM
"Goulão, Miguel; Fonte, Nelson; Wermelinger, Michel; e Abreu, Fernando Brito; ",Software evolution prediction using seasonal time analysis: a comparative study,"Software Maintenance and Reengineering (CSMR), 2012 16th European Conference on",,,213-222,2012,IEEE
"Hora, Andre; Anquetil, Nicolas; Ducasse, Stéphane; Allier, Simon; ",Domain specific warnings: Are they any better?,"Software Maintenance (ICSM), 2012 28th IEEE International Conference on",,,441-450,2012,IEEE
"Koponen, Timo; Lintula, Heli; ",Are the Changes Induced by the Defect Reports in the Open Source Software Maintenance?,Software Engineering Research and Practice,,,429-435,2006,Citeseer
"Sinha, Vibha Singhal; Sinha, Saurabh; Rao, Swathi; ",BUGINNINGS: identifying the origins of a bug,Proceedings of the 3rd India software engineering conference,,,3-12,2010,ACM
"Nguyen, Viet Hung; Massacci, Fabio; ",The (un) reliability of nvd vulnerable versions data: an empirical experiment on google chrome vulnerabilities,"Proceedings of the 8th ACM SIGSAC symposium on Information, computer and communications security",,,493-498,2013,ACM
"Khomh, Foutse; Yuan, Hao; Zou, Ying; ",Adapting Linux for mobile platforms: An empirical study of Android,"Software Maintenance (ICSM), 2012 28th IEEE International Conference on",,,629-632,2012,IEEE
